id,action,ordre,etape,actif,utilise,vegetal,mouvement
1,"commande semences",1,1,1,1,9,
2,"stockage semences",2,1,1,0,9,1
3,"fumure",10,2,1,0,9,
4,"préparation du sol",11,2,1,1,9,
5,"faux semis",12,2,1,0,9,
6,"repiquage",37,11,1,1,6,
7,"durcir le plant dehors",35,11,1,0,6,
8,"semis JDC",20,3,1,1,9,2
9,"pose P17",22,3,1,0,9,
10,"pose de film bio",33,11,1,0,6,
12,"désherbage thermique semis",23,3,1,0,9,
13,"élevage du plant",34,11,1,0,6,
14,"retrait du p17",30,11,1,0,6,
15,"préparation du plant",36,11,1,1,6,1
16,"pose de plastique",40,4,1,0,6,
17,"plantation",41,4,1,1,6,
18,"désherbage thermique",50,12,1,1,4,
19,"irrigation",51,12,1,0,4,
20,"désherbage manuel 1",52,12,1,0,4,
21,"désherbage mécanique",53,12,1,0,4,
22,"désherbage manuel 2",54,12,1,0,4,
23,"traitement",55,12,1,1,4,
24,"récolte",63,5,1,1,4,1
25,"mise en jauge",64,5,1,0,4,
26,"déchaumage",11,2,1,1,9,
27,"conditionnement",66,5,1,0,4,
31,"lavage légumes après récolte",67,5,1,0,4,
32,"entrée en stock",80,6,1,1,,1
33,"sortie de stock",81,6,1,1,,2
34,"tri/conditionnement",90,7,1,1,,
35,"préparation panier",92,7,1,1,,
36,"stockage frigo",94,7,1,0,4,
37,"cuisson et conditionnement sous vide",91,7,1,0,4,
38,"étiquetage des produits transformés",91,7,1,0,4,
39,"engrais organique liquide durcir le plant dehors",31,11,1,0,6,
40,"taille et palissage",56,12,1,0,4,
41,"nettoyage des serres après recolte",60,5,1,0,4,
42,"broyage des cultures",61,5,1,0,4,
43,"Comptage post levée",32,11,1,1,6,
44,"vente en magasin",99,7,1,0,4,
45,"pose de ficelle et clips",43,12,1,0,4,
46,"pose de support de culture",44,4,1,0,6,
47,"irrigation",21,3,1,0,9,
48,"préparation vente professionnel",95,7,1,0,4,
49,"traçage",45,4,1,0,6,
50,"nettoyage et pliage de la bâche plastique",62,5,1,0,4,
51,"irrigation",42,4,1,0,6,
52,"irrigation",38,11,1,0,6,
53,"livraison dépôt",96,7,1,0,,
54,"préparation vente magasin",95,7,1,0,,
55,"maintenance",100,13,1,1,,
56,"Semis PRO",20,3,1,1,9,2
57,"Semis ADH",20,3,1,1,9,2
58,"traçabilité amont",97,7,1,1,6,
59,"traçabilité aval",98,7,1,1,,
