tournee_id,depot_id,ordre
1,0,1
1,85,2
1,19,3
1,2,4
1,4,5
1,42,6
1,75,7
1,14,8
1,8,9
1,62,10
1,3,11
3,0,1
3,62,2
3,31,3
3,42,4
3,14,5
3,8,6
3,46,7
3,25,8
3,10,9
3,85,10
4,0,1
4,85,2
4,19,3
4,6,4
4,50,5
4,38,6
4,57,7
4,61,8
4,26,9
4,65,10
4,13,11
4,15,12
5,1,1
6,1,1
7,0,1
7,83,2
7,18,3
7,8,4
7,42,5
7,48,6
7,16,7
7,14,8
7,9,9
7,34,10
7,46,11
7,19,12
7,12,13
7,84,14
7,77,15
7,85,16
8,1,1
9,0,1
9,21,2
9,84,3
9,80,4
9,81,5
10,0,1
10,55,2
10,60,3
10,20,4
10,17,5
11,78,6
11,36,7
12,36,1
13,0,1
13,85,2
13,19,3
13,2,4
13,4,5
13,42,6
13,75,7
13,14,8
13,8,9
13,62,10
13,3,11
15,0,1
15,62,2
15,31,3
15,42,4
15,14,5
15,8,6
15,46,7
15,25,8
15,10,9
15,85,10
16,0,1
16,85,2
16,19,3
16,6,4
16,50,5
16,38,6
16,57,7
16,61,8
16,26,9
16,65,10
16,13,11
16,15,12
17,1,1
18,1,1
19,0,1
19,83,2
19,18,3
19,8,4
19,42,5
19,48,6
19,16,7
19,14,8
19,9,9
19,34,10
19,46,11
19,19,12
19,12,13
19,84,14
19,77,15
19,85,16
20,1,1
21,0,1
21,21,2
21,84,3
21,80,4
21,81,5
22,0,1
22,55,2
22,60,3
22,20,4
22,17,5
23,78,6
23,36,7
24,36,1
25,0,1
25,85,2
25,19,3
25,2,4
25,4,5
25,42,6
25,75,7
25,14,8
25,8,9
25,62,10
25,3,11
26,1,1
27,0,1
27,62,2
27,31,3
27,42,4
27,14,5
27,8,6
27,46,7
27,25,8
27,10,9
27,85,10
28,0,1
28,85,2
28,19,3
28,6,4
28,50,5
28,38,6
28,57,7
28,61,8
28,26,9
28,65,10
28,13,11
28,15,12
29,1,1
30,1,1
31,0,1
31,83,2
31,18,3
31,8,4
31,42,5
31,48,6
31,16,7
31,14,8
31,9,9
31,34,10
31,46,11
31,19,12
31,12,13
31,84,14
31,77,15
31,85,16
32,1,1
33,0,1
33,21,2
33,84,3
33,80,4
33,81,5
34,0,1
34,55,2
34,60,3
34,20,4
34,17,5
35,78,6
35,36,7
36,36,1
37,0,1
37,85,2
37,19,3
37,2,4
37,4,5
37,42,6
37,75,7
37,14,8
37,8,9
37,62,10
37,3,11
38,1,1
39,0,1
39,62,2
39,31,3
39,42,4
39,14,5
39,8,6
39,46,7
39,25,8
39,10,9
39,85,10
40,0,1
40,85,2
40,19,3
40,6,4
40,50,5
40,38,6
40,57,7
40,61,8
40,26,9
40,65,10
40,13,11
40,15,12
41,1,1
42,1,1
43,0,1
43,83,2
43,18,3
43,8,4
43,42,5
43,48,6
43,16,7
43,14,8
43,9,9
43,34,10
43,46,11
43,19,12
43,12,13
43,84,14
43,77,15
43,85,16
44,1,1
45,0,1
45,21,2
45,84,3
45,80,4
45,81,5
46,0,1
46,55,2
46,60,3
46,20,4
46,17,5
47,78,6
47,36,7
48,36,1
